id,title,accuracy,recall_rate
1,阿图尔·叔本华,0.6,0.75
2,深度学习,0.5,0.4166666666666667
3,巴黎圣母院,0.4,0.5714285714285714
4,黑洞,0.2,0.25
5,神经元,0.4,0.6666666666666666
6,外星人,0.6,0.6
7,计算机科学,0.2,0.3333333333333333
8,卷积神经网络,0.4,0.6666666666666666
9,奥卡姆剃刀,0.5,0.625
10,维克多雨果,0.6,0.6
11,计算机图形学,0.3,0.5
12,计算机视觉,0.3,0.5
13,决策树,0.2,0.4
14,机器学习,0.3,0.42857142857142855
15,微信小程序,0.2,0.5
16,华南理工大学,0.5,0.5555555555555556
17,宪法,0.4,0.6666666666666666
18,言论自由,0.3,0.5
19,多重宇宙论	,0.3,0.3
20,双缝实验,0.5,0.625
21,信息检索,0.4,0.6666666666666666
22,广州,0.4,0.6666666666666666
23,室内设计,0.5,0.625
24,经济学,0.4,0.5
25,三维模型,0.2,0.4
26,total,0.384,0.5303867403314917
