id,title,accuracy,recall_rate
1,阿图尔·叔本华,0.5,0.625
2,深度学习,0.5,0.4166666666666667
3,巴黎圣母院,0.5,0.7142857142857143
4,黑洞,0.4,0.5
5,神经元,0.5,0.8333333333333334
6,外星人,0.6,0.6
7,计算机科学,0.5,0.8333333333333334
8,卷积神经网络,0.1,0.16666666666666666
9,奥卡姆剃刀,0.4,0.5
10,维克多雨果,0.8,0.8
11,计算机图形学,0.4,0.6666666666666666
12,计算机视觉,0.3,0.5
13,决策树,0.2,0.4
14,机器学习,0.4,0.5714285714285714
15,微信小程序,0.0,0.0
16,华南理工大学,0.4,0.4444444444444444
17,宪法,0.5,0.8333333333333334
18,言论自由,0.5,0.8333333333333334
19,多重宇宙论	,0.6,0.6
20,双缝实验,0.5,0.625
21,信息检索,0.4,0.6666666666666666
22,广州,0.3,0.5
23,室内设计,0.3,0.375
24,经济学,0.4,0.5
25,三维模型,0.5,1.0
26,total,0.42,0.580110497237569
