id,title,key
1,阿图尔·叔本华,叔本华 阿图尔 意志 物自体 悲观主义 学术界 Arthur 德语 心灵 开创者
2,深度学习,深度学习 神经网络 算法 深度 数据 神经元 计算机视觉 人脸识别 像素 音频
3,巴黎圣母院,巴黎圣母院 圣母院 法国 Dame Notre 巴黎 建筑 圣母 座堂 主教
4,黑洞,黑洞 恒星 质量 重力 天体 视界 英语 核聚变 白洞 重元素
5,神经元,神经元 cell 传导 英语 神经细胞 cerebellar 髓鞘 轴突 电流 颗粒细胞
6,外星人,外星人 文明 SETI 宇宙 人类 地球 非营利 加州大学 先进设备 帕特里克
7,计算机科学,计算机科学 计算机 术语 学科 数学 科学 science 理论 信息 计算机系统
8,卷积神经网络,卷积神经网络 卷积 softmax 神经网络 网络 单元 分类 Convolutional 图像 分类器
9,奥卡姆剃刀,奥卡姆 剃刀 理论 Ockham 科学 Occam Razor 法则 方济各 parsimoniae
10,维克多雨果,雨果 法国 维克多 浪漫主义 法语 作家 政论 Marie Victor 推动者
11,计算机图形学,图形 计算机图形学 计算机 曲面 灰度 景物 算法 模型 曲线 技术
12,计算机视觉,计算机视觉 图像 视觉 系统 信息 建模 学科 目标 计算机 索引
13,决策树,决策树 节点 决策 模型 机器学习 对象 资源 路径 技术 矩形框
14,机器学习,机器学习 算法 人工智能 理论 目标 统计学 数据 DNA 搜索引擎 GAN
15,微信小程序,小程序 开发者 行业 用户 公开课 企业 程序开发 程序员 Mini 英文名
16,华南理工大学,工学院 大学 理工学院 华南 中山大学 工程系 华南理工大学 广东 中国 工业
17,宪法,宪法 国家 法律 法规 美国 公民 成文宪法 权利 政府 主权国家
18,言论自由,权利 人权 政治权利 国际公约 公民权利 资讯 国家 国界 Freedom 公共秩序
19,多重宇宙论,宇宙 平行 诡论 理论 Multiverse Metaverse 时光隧道 心理学家 威廉 哲学家
20,双缝实验,双缝 微观 物体 粒子 条纹 波动性 费曼 辐照度 光束 物理
21,信息检索,信息检索 信息 IR 数据库 系统 对象 用户 Web 搜索引擎 数据
22,广州,广州 中国 中心 南海 城市 大港 华南地区 广东省 世界 大陆
23,室内设计,室内设计 空间 规划 环境 绿色 空调 建筑物 色彩 法则 装饰
24,经济学,经济学 经济 微观 社会 卖家 宏观 买家 影响力 架构 社会科学
25,三维模型,模型 纹理 计算机 电子游戏 电影 物体 现实 骨骼 建模 曲面
